date,total,old,merit,kids,foreigner,person,disabled,teenager,premium,gasoline,light
201801 ,116367724 ,8015599 ,208429 ,1374221 ,373334 ,99069820 ,1949595 ,5376726 ,1860 ,1552 ,1345 
201802 ,102755162 ,7276955 ,184020 ,1277787 ,427801 ,86853709 ,1739277 ,4995613 ,1868 ,1565 ,1360 
201803 ,124630146 ,9132671 ,222697 ,1340781 ,595927 ,104237156 ,2098572 ,7002342 ,1862 ,1558 ,1355 
201804 ,121372404 ,9016529 ,216370 ,1361582 ,555126 ,101611797 ,2052108 ,6558892 ,1860 ,1551 ,1349 
201805 ,124420495 ,9301338 ,218866 ,1538758 ,483877 ,103857010 ,2087121 ,6933525 ,1878 ,1580 ,1380 
201806 ,118369326 ,8909936 ,211276 ,1371958 ,523876 ,99118040 ,1991825 ,6242415 ,1898 ,1609 ,1410 
201807 ,108623373 ,9590806 ,175532 ,949173 ,242011 ,91555953 ,1601211 ,4508684 ,1899 ,1611 ,1412 
201808 ,118141480 ,8522592 ,203412 ,1544579 ,612726 ,99366772 ,1929716 ,5961683 ,1905 ,1618 ,1419 
201809 ,113091703 ,8512647 ,196984 ,1348593 ,527497 ,94784142 ,1881273 ,5840567 ,1919 ,1638 ,1439 
201810 ,124956390 ,9575131 ,219711 ,1392835 ,592647 ,104721911 ,2090564 ,6363591 ,1948 ,1681 ,1485 
201811 ,123051527 ,9116733 ,214114 ,1233572 ,562795 ,103599506 ,2033421 ,6291386 ,1861 ,1581 ,1425 
201812 ,121296585 ,9032394 ,213338 ,1284506 ,619431 ,101946883 ,1999677 ,6200356 ,1774 ,1433 ,1324 
201901 ,118483979 ,9002571 ,213533 ,1386564 ,428695 ,100427814 ,1989043 ,5035759 ,1716 ,1351 ,1249 
201902 ,102284623 ,7764710 ,183680 ,1315691 ,440341 ,86362374 ,1718651 ,4499176 ,1703 ,1344 ,1243 
201903 ,123439636 ,9509779 ,216444 ,1358170 ,623542 ,103306901 ,2049297 ,6375503 ,1714 ,1370 ,1269 
201904 ,123743123 ,9661951 ,216558 ,1378158 ,628584 ,103706888 ,2063847 ,6087137 ,1752 ,1424 ,1316 
201905 ,127173995 ,9964277 ,220244 ,1547644 ,565253 ,106256227 ,2106282 ,6514068 ,1818 ,1517 ,1385 
