date,total,old,merit,kids,foreigner,person,disabled,teenager,premium,gasoline,light
201801,"116,367,724","8,015,599","208,429","1,374,221","373,334","99,069,820","1,949,595","5,376,726",1860.18,1551.76,1344.93
201802,"102,755,162","7,276,955","184,020","1,277,787","427,801","86,853,709","1,739,277","4,995,613",1867.51,1564.55,1360.41
201803,"124,630,146","9,132,671","222,697","1,340,781","595,927","104,237,156","2,098,572","7,002,342",1861.58,1557.85,1354.58
201804,"121,372,404","9,016,529","216,370","1,361,582","555,126","101,611,797","2,052,108","6,558,892",1860.06,1551.33,1349.06
201805,"124,420,495","9,301,338","218,866","1,538,758","483,877","103,857,010","2,087,121","6,933,525",1878.41,1580.29,1380.24
201806,"118,369,326","8,909,936","211,276","1,371,958","523,876","99,118,040","1,991,825","6,242,415",1897.89,1609.08,1410.01
201807,"108,623,373","9,590,806","175,532","949,173","242,011","91,555,953","1,601,211","4,508,684",1898.51,1610.91,1411.85
201808,"118,141,480","8,522,592","203,412","1,544,579","612,726","99,366,772","1,929,716","5,961,683",1904.61,1618.29,1419.13
201809,"113,091,703","8,512,647","196,984","1,348,593","527,497","94,784,142","1,881,273","5,840,567",1919.46,1637.58,1438.93
201810,"124,956,390","9,575,131","219,711","1,392,835","592,647","104,721,911","2,090,564","6,363,591",1948.35,1681.12,1485.02
201811,"123,051,527","9,116,733","214,114","1,233,572","562,795","103,599,506","2,033,421","6,291,386",1861.06,1580.91,1424.66
201812,"121,296,585","9,032,394","213,338","1,284,506","619,431","101,946,883","1,999,677","6,200,356",1773.91,1433.13,1324.11
201901,"118,483,979","9,002,571","213,533","1,386,564","428,695","100,427,814","1,989,043","5,035,759",1715.88,1351.19,1249.41
201902,"102,284,623","7,764,710","183,680","1,315,691","440,341","86,362,374","1,718,651","4,499,176",1703.02,1343.77,1242.91
201903,"123,439,636","9,509,779","216,444","1,358,170","623,542","103,306,901","2,049,297","6,375,503",1714.2,1369.52,1269.16
201904,"123,743,123","9,661,951","216,558","1,378,158","628,584","103,706,888","2,063,847","6,087,137",1752.36,1424.39,1316.42
201905,"127,173,995","9,964,277","220,244","1,547,644","565,253","106,256,227","2,106,282","6,514,068",1818.28,1517.22,1385.31
201906,"118,504,978","9,403,636","207,999","1,414,794","583,622","99,252,544","1,974,532","5,667,851",1817.76,1517.54,1379.77
201907,"123,468,785","9,406,961","213,157","1,481,362","582,141","103,887,352","2,002,351","5,895,461",1799.76,1491.5,1352.84
201908,"119,214,888","9,129,687","204,647","1,622,183","663,283","100,225,111","1,927,062","5,442,915",1797.13,1493.72,1351.92
201909,"114,677,747","8,898,604","197,535","1,249,374","532,397","96,534,415","1,859,533","5,405,889",1826.54,1529.27,1379.84
201910,"126,028,528","10,242,111","220,274","1,445,932","601,617","105,628,159","2,070,829","5,819,606",1829.48,1540.47,1387.73
201911,"122,168,523","9,577,938","209,962","1,267,073","539,949","102,908,078","1,980,030","5,685,493",1820.92,1535.65,1380.51
201912,"123,956,954","9,784,176","215,016","1,315,788","605,124","104,207,965","2,010,129","5,818,753",1823.99,1548.47,1385.42
202001,"111,908,058","8,803,046","199,298","1,319,233","497,683","94,935,390","1,835,518","4,317,884",1832.84,1568.44,1398.4
202002,"93,802,145","6,571,944","160,850","691,780","270,484","81,143,808","1,513,465","3,449,810",1816.57,1545.29,1369.85
202003,"79,661,457","5,435,966","144,326","284,620","30,837","70,338,297","1,318,009","2,109,402",1765.62,1469.06,1280.77
202004,"84,026,568","6,249,080","153,722","399,525","23,618","73,415,831","1,407,026","2,377,766",1647.41,1323.66,1132.44
202005,"92,864,717","7,400,977","169,833","556,401","27,338","80,196,325","1,548,647","2,965,196",1580.33,1255.08,1065.79
202006,"96,421,724","7,241,759","168,514","579,926","27,547","82,888,825","1,540,654","3,974,499",1610.4,1322.88,1127.9
202007,"102,758,285","7,674,296","177,095","681,813","29,781","88,260,513","1,616,350","4,318,437",1633.04,1360.25,1162.9
202008,"87,967,076","6,522,669","155,711","552,078","28,814","76,045,323","1,394,583","3,267,895",1636.39,1361.09,1163.56
202009,"82,383,689","6,443,559","151,979","391,805","27,963","71,377,154","1,362,464","2,628,765",1629.55,1352.47,1154.45
202010,"93,798,773","7,526,394","167,539","650,775","33,624","80,007,713","1,522,815","3,889,913",1618.38,1333.28,1133.96
202011,"94,549,385","7,378,993","164,963","613,714","30,393","81,059,839","1,517,534","3,783,949",1609.2,1319.59,1119.6
202012,"78,347,087","6,093,844","143,574","276,626","22,918","68,202,158","1,323,327","2,284,640",1629.93,1367.77,1168.32
202101,"79,810,943","5,957,088","143,584","361,078","21,561","69,681,101","1,287,178","2,359,353",1678.91,1441.84,1242.35
202102,"79,544,603","6,074,401","140,316","524,431","24,006","68,721,571","1,269,285","2,790,593",1703.47,1463.22,1263.36
202103,"98,821,351","7,838,365","172,226","706,785","29,104","84,157,157","1,566,977","4,350,737",1751.26,1513.27,1312.63
202104,"97,642,261","7,875,799","170,202","718,373","29,971","83,095,357","1,559,550","4,193,006",1770.77,1534.52,1332.74
202105,"96,435,183","7,783,218","166,773","796,644","31,197","81,936,998","1,520,853","4,199,496",1780.41,1541.51,1338.81
202106,"97,363,345","7,854,698","169,063","768,716","29,276","82,882,729","1,549,243","4,109,620",1810.79,1577.33,1374.36
202107,"89,331,407","7,187,257","155,685","578,439","27,552","76,592,468","1,420,866","3,369,140",1859.77,1629.26,1425.54
202108,"86,473,762","7,092,989","152,680","606,778","27,422","73,927,525","1,366,354","3,300,014",1880.13,1645.75,1440.54
202109,"87,112,247","7,431,198","154,680","659,032","30,964","73,671,003","1,390,485","3,774,884",1877.62,1642.68,1437.17
202110,"95,060,905","8,334,925","167,124","743,323","33,875","80,194,116","1,517,017","4,070,525",1938.16,1712.32,1509.29
202111,"99,857,949","8,348,473","169,358","735,692","36,869","85,074,810","1,553,731","3,939,014",1946.19,1737.39,1549.72
202112,"98,404,712","7,768,221","164,541","682,963","35,137","84,000,850","1,503,437","4,249,563",1871.86,1646.37,1468.9
202201,"92,349,299","7,534,055","157,211","723,253","28,439","79,098,448","1,426,512","3,381,381",1870.54,1635.22,1453.53
202202,"79,284,924","6,580,333","135,522","622,127","25,690","67,727,148","1,246,200","2,947,904",1935.63,1714.61,1536.64
202203,"90,627,423","7,593,539","153,707","702,389","31,905","76,432,707","1,403,031","4,310,145",2151.54,1938.46,1826.93
202204,"100,182,903","8,598,837","165,580","947,759","49,763","84,203,010","1,533,861","4,684,090",2193.6,1976.53,1906.42
202205,"109,231,641","9,541,370","179,414","1,120,233","74,226","91,489,258","1,657,543","5,169,597",2183.71,1967.07,1964.28
202206,"104,686,821","9,184,094","172,918","1,050,650","90,174","87,932,381","1,581,462","4,675,142",2298.5,2084,2089.03
202207,"106,822,178","9,068,110","172,796","1,110,890","110,623","90,096,510","1,580,219","4,683,030",2261.02,2029.99,2084.91
202208,"103,600,992","8,782,208","169,135","1,110,904","122,795","87,665,570","1,525,200","4,225,180",2077.53,1792.19,1889.31
202209,"104,139,913","9,004,817","168,837","1,007,966","159,124","87,710,567","1,534,951","4,553,650",2016.95,1730,1850.2
202210,"109,527,312","9,968,162","177,064","1,114,264","241,427","91,721,351","1,627,994","4,677,050",1955.33,1666.65,1838.34
202211,"108,623,373","9,590,806","175,532","949,173","242,011","91,555,953","1,601,211","4,508,684",1935.87,1650.32,1879.15
